2025-11-25 12:27:13 | INFO | MovieWebsite.Controllers.HomeController | Bắt đầu tải trang chủ 
2025-11-25 12:27:41 | INFO | MovieWebsite.Controllers.HomeController | Bắt đầu tải trang chủ 
2025-11-25 12:31:08 | INFO | MovieWebsite.Controllers.HomeController | Bắt đầu tải trang chủ 
2025-11-25 12:33:06 | INFO | MovieWebsite.Controllers.HomeController | Bắt đầu tải trang chủ 
2025-11-25 12:35:49 | INFO | MovieWebsite.Controllers.HomeController | Bắt đầu tải trang chủ 
2025-11-25 12:35:50 | INFO | MovieWebsite.Controllers.HomeController | Lấy danh sách phim thành công - Tổng số: 21 
2025-11-25 12:35:50 | INFO | MovieWebsite.Controllers.HomeController | Lấy 3 phim nổi bật thành công 
2025-11-25 12:35:54 | INFO | MovieWebsite.Controllers.AccountController | Người dùng đăng xuất: khietloi2004.dev.net@gmail.com 
2025-11-25 12:36:08 | INFO | MovieWebsite.Controllers.HomeController | Bắt đầu tải trang chủ 
2025-11-25 12:36:08 | INFO | MovieWebsite.Controllers.HomeController | Lấy danh sách phim thành công - Tổng số: 21 
2025-11-25 12:36:08 | INFO | MovieWebsite.Controllers.HomeController | Lấy 3 phim nổi bật thành công 
2025-11-25 12:36:10 | INFO | MovieWebsite.Controllers.HomeController | Bắt đầu tải trang chủ 
2025-11-25 12:36:10 | INFO | MovieWebsite.Controllers.HomeController | Lấy danh sách phim thành công - Tổng số: 21 
2025-11-25 12:36:10 | INFO | MovieWebsite.Controllers.HomeController | Lấy 3 phim nổi bật thành công 
2025-11-25 12:36:34 | INFO | MovieWebsite.Controllers.HomeController | Bắt đầu tải trang chủ 
2025-11-25 12:36:35 | INFO | MovieWebsite.Controllers.HomeController | Lấy danh sách phim thành công - Tổng số: 21 
2025-11-25 12:36:35 | INFO | MovieWebsite.Controllers.HomeController | Lấy 3 phim nổi bật thành công 
2025-11-25 12:37:12 | INFO | MovieWebsite.Controllers.AccountController | Đăng ký với email: khietloi2004.dev.net@gmail.com 
2025-11-25 12:37:16 | INFO | MovieWebsite.Controllers.AccountController | Đăng ký thành công cho user: khietloi2004.dev.net@gmail.com, Đã gửi email xác minh 
2025-11-25 12:37:29 | INFO | MovieWebsite.Controllers.AccountController | Bắt đầu xác minh tài khoản với token: 0792b374-5b50-4007-9f74-f996c17162e7 
2025-11-25 12:37:29 | INFO | MovieWebsite.Controllers.AccountController | Xác minh tài khoản thành công cho email: khietloi2004.dev.net@gmail.com 
2025-11-25 12:37:40 | INFO | MovieWebsite.Controllers.AccountController | Đăng nhập thử với email: khietloi2004.dev.net@gmail.com 
2025-11-25 12:37:41 | WARN | MovieWebsite.Controllers.AccountController | Đăng nhập thất bại cho email: khietloi2004.dev.net@gmail.com - Email hoặc mật khẩu không đúng 
2025-11-25 12:37:46 | INFO | MovieWebsite.Controllers.AccountController | Đăng nhập thử với email: khietloi2004.dev.net@gmail.com 
