2025-05-12 12:23:01 | INFO | MovieWebsite.Controllers.HomeController | Bắt đầu tải trang chủ 
2025-05-12 12:23:03 | INFO | MovieWebsite.Controllers.HomeController | Lấy danh sách phim thành công - Tổng số: 21 
2025-05-12 12:23:03 | INFO | MovieWebsite.Controllers.HomeController | Lấy 3 phim nổi bật thành công 
2025-05-12 12:23:20 | INFO | MovieWebsite.Controllers.AccountController | Đăng nhập thử với email: liem8000@gmail.com 
2025-05-12 12:23:21 | INFO | MovieWebsite.Controllers.AccountController | Đăng nhập thành công cho user: liem8000@gmail.com, Role: User 
2025-05-12 12:23:21 | INFO | MovieWebsite.Controllers.HomeController | Bắt đầu tải trang chủ 
2025-05-12 12:23:21 | INFO | MovieWebsite.Controllers.HomeController | Lấy danh sách phim thành công - Tổng số: 21 
2025-05-12 12:23:21 | INFO | MovieWebsite.Controllers.HomeController | Lấy 3 phim nổi bật thành công 
2025-05-12 12:23:39 | INFO | MovieWebsite.Controllers.HomeController | Bắt đầu tải chi tiết phim - MovieId: MV003 
2025-05-12 12:23:39 | INFO | MovieWebsite.Controllers.HomeController | Tải chi tiết phim thành công - MovieId: MV003 
2025-05-12 12:23:42 | INFO | MovieWebsite.Controllers.HomeController | Bắt đầu thêm phim vào danh sách yêu thích - MovieId: MV003 
2025-05-12 12:23:42 | INFO | MovieWebsite.Controllers.HomeController | Thêm phim vào danh sách yêu thích thành công - MovieId: MV003, UserId: KHC89E035A 
2025-05-12 12:23:42 | INFO | MovieWebsite.Controllers.HomeController | Bắt đầu tải chi tiết phim - MovieId: MV003 
2025-05-12 12:23:42 | INFO | MovieWebsite.Controllers.HomeController | Tải chi tiết phim thành công - MovieId: MV003 
2025-05-12 12:23:47 | INFO | MovieWebsite.Controllers.HomeController | Bắt đầu thêm phim vào danh sách yêu thích - MovieId: MV003 
2025-05-12 12:23:47 | INFO | MovieWebsite.Controllers.HomeController | Phim đã có trong danh sách yêu thích - MovieId: MV003, UserId: KHC89E035A 
2025-05-12 12:23:47 | INFO | MovieWebsite.Controllers.HomeController | Bắt đầu tải chi tiết phim - MovieId: MV003 
2025-05-12 12:23:47 | INFO | MovieWebsite.Controllers.HomeController | Tải chi tiết phim thành công - MovieId: MV003 
2025-05-12 12:23:59 | INFO | MovieWebsite.Controllers.HomeController | Bắt đầu xem phim - MovieId: MV003 
2025-05-12 12:23:59 | INFO | MovieWebsite.Controllers.HomeController | Thêm lịch sử xem phim - UserId: KHC89E035A, MovieId: MV003 
2025-05-12 12:23:59 | INFO | MovieWebsite.Controllers.HomeController | Tải trang xem phim thành công - MovieId: MV003 
2025-05-12 12:24:35 | INFO | MovieWebsite.Controllers.HomeController | Bắt đầu đánh giá phim - MovieId: MV003, Stars: 5 
